user_id,registration_date,user_type,is_premium,last_active_date
user_00001,2025-06-30 07:48:02.627608,casual_user,True,2025-09-09 07:48:02.627608
user_00002,2025-04-05 07:48:02.630924,regular_user,False,2025-06-30 07:48:02.630924
user_00003,2024-11-14 07:48:02.630924,regular_user,False,2024-12-07 07:48:02.630924
user_00004,2025-06-02 07:48:02.630924,power_user,False,2025-07-01 07:48:02.630924
user_00005,2024-12-21 07:48:02.631620,power_user,False,2025-01-22 07:48:02.631620
user_00006,2024-12-01 07:48:02.631620,regular_user,False,2025-01-18 07:48:02.631620
user_00007,2025-08-13 07:48:02.631620,regular_user,True,2025-10-11 07:48:02.631620
user_00008,2025-01-13 07:48:02.631620,regular_user,False,2025-03-04 07:48:02.631620
user_00009,2024-10-12 07:48:02.631620,regular_user,False,2024-10-14 07:48:02.631620
user_00010,2024-12-08 07:48:02.632382,casual_user,False,2024-12-25 07:48:02.632382
user_00011,2025-07-14 07:48:02.632382,churn_risk_user,False,2025-07-22 07:48:02.632382
user_00012,2024-10-30 07:48:02.632382,power_user,False,2024-12-28 07:48:02.632382
user_00013,2025-01-20 07:48:02.633168,power_user,False,2025-02-24 07:48:02.633168
user_00014,2025-08-22 07:48:02.633168,casual_user,False,2025-08-27 07:48:02.633168
user_00015,2025-08-18 07:48:02.633529,regular_user,True,2025-10-19 07:48:02.633529
user_00016,2025-03-07 07:48:02.633529,regular_user,False,2025-03-20 07:48:02.633529
user_00017,2024-10-25 07:48:02.633529,churn_risk_user,True,2025-01-19 07:48:02.633529
user_00018,2025-02-01 07:48:02.633529,power_user,False,2025-04-21 07:48:02.633529
user_00019,2025-02-16 07:48:02.634043,regular_user,False,2025-03-13 07:48:02.634043
user_00020,2025-03-08 07:48:02.634043,regular_user,False,2025-04-17 07:48:02.634043
user_00021,2025-05-07 07:48:02.634346,casual_user,True,2025-07-16 07:48:02.634346
user_00022,2025-10-02 07:48:02.634346,casual_user,True,2025-12-28 07:48:02.634346
user_00023,2025-08-09 07:48:02.634346,casual_user,False,2025-09-12 07:48:02.634346
user_00024,2024-12-26 07:48:02.634346,casual_user,False,2025-02-04 07:48:02.634346
user_00025,2025-09-13 07:48:02.634891,casual_user,False,2025-10-16 07:48:02.634891
user_00026,2025-09-08 07:48:02.634891,power_user,False,2025-12-04 07:48:02.634891
user_00027,2024-12-22 07:48:02.634891,casual_user,False,2025-01-25 07:48:02.634891
user_00028,2025-02-26 07:48:02.634891,power_user,False,2025-02-26 07:48:02.634891
user_00029,2025-10-06 07:48:02.634891,regular_user,False,2025-11-01 07:48:02.634891
user_00030,2025-03-18 07:48:02.634891,regular_user,True,2025-06-02 07:48:02.634891
user_00031,2025-04-15 07:48:02.635680,power_user,False,2025-06-05 07:48:02.635680
user_00032,2025-07-07 07:48:02.635680,casual_user,True,2025-07-21 07:48:02.635680
user_00033,2025-04-23 07:48:02.635680,regular_user,False,2025-07-02 07:48:02.635680
user_00034,2025-04-07 07:48:02.635680,casual_user,False,2025-05-18 07:48:02.635680
user_00035,2025-08-27 07:48:02.635680,regular_user,True,2025-09-23 07:48:02.635680
user_00036,2025-09-13 07:48:02.635680,regular_user,False,2025-11-13 07:48:02.635680
user_00037,2024-11-14 07:48:02.636473,regular_user,True,2025-02-10 07:48:02.636473
user_00038,2025-02-22 07:48:02.636473,churn_risk_user,True,2025-03-20 07:48:02.636473
user_00039,2025-06-12 07:48:02.636473,casual_user,False,2025-08-20 07:48:02.636473
user_00040,2025-05-27 07:48:02.636473,regular_user,False,2025-07-09 07:48:02.636473
user_00041,2025-05-12 07:48:02.636473,churn_risk_user,False,2025-08-07 07:48:02.636473
user_00042,2025-02-20 07:48:02.637199,regular_user,True,2025-04-18 07:48:02.637199
user_00043,2025-08-20 07:48:02.637199,regular_user,False,2025-08-22 07:48:02.637199
user_00044,2025-06-20 07:48:02.637199,power_user,False,2025-08-17 07:48:02.637199
user_00045,2025-06-20 07:48:02.637199,churn_risk_user,False,2025-09-14 07:48:02.637199
user_00046,2025-03-01 07:48:02.637199,churn_risk_user,True,2025-03-02 07:48:02.637199
user_00047,2025-08-19 07:48:02.637199,regular_user,False,2025-09-19 07:48:02.637199
user_00048,2025-02-06 07:48:02.637199,casual_user,False,2025-02-22 07:48:02.637199
user_00049,2025-01-29 07:48:02.637994,casual_user,False,2025-04-08 07:48:02.637994
user_00050,2025-02-13 07:48:02.637994,casual_user,True,2025-04-12 07:48:02.637994
user_00051,2024-11-19 07:48:02.637994,casual_user,False,2025-01-16 07:48:02.637994
user_00052,2024-10-30 07:48:02.637994,regular_user,True,2025-01-08 07:48:02.637994
user_00053,2024-12-07 07:48:02.637994,churn_risk_user,False,2025-01-14 07:48:02.637994
user_00054,2024-11-07 07:48:02.637994,casual_user,False,2025-01-02 07:48:02.637994
user_00055,2025-05-13 07:48:02.638787,regular_user,False,2025-05-19 07:48:02.638787
user_00056,2025-02-01 07:48:02.638787,regular_user,False,2025-04-01 07:48:02.638787
user_00057,2025-10-09 07:48:02.638787,churn_risk_user,False,2025-12-16 07:48:02.638787
user_00058,2025-09-04 07:48:02.638787,casual_user,True,2025-09-22 07:48:02.638787
user_00059,2024-12-11 07:48:02.638787,casual_user,False,2025-02-02 07:48:02.638787
user_00060,2025-06-13 07:48:02.638787,casual_user,False,2025-08-23 07:48:02.638787
user_00061,2025-06-29 07:48:02.638787,casual_user,True,2025-09-25 07:48:02.638787
user_00062,2025-07-04 07:48:02.639563,churn_risk_user,True,2025-09-23 07:48:02.639563
user_00063,2025-03-31 07:48:02.639563,casual_user,False,2025-05-10 07:48:02.639563
